Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
22-08-2011,637.65,644.8,644.8,625.15,640,637.6,637.97,7193
23-08-2011,637.6,638,660,629,655.8,657.95,645.37,11758
24-08-2011,657.95,669,672,633,637.75,639.5,650.88,11354
25-08-2011,639.5,645.1,645.1,630,635,631.95,632.57,23803
26-08-2011,631.95,622,648,616.05,623.1,622.2,632.61,7486
29-08-2011,622.2,626,641.95,603.15,609.1,611.85,613.09,107865
30-08-2011,611.85,616,630,594,613.95,615.25,619.52,47461
02-09-2011,615.25,625,637.2,608,626,628.85,623.73,31200
05-09-2011,628.85,625,628.95,613.1,620,624.9,624.04,10825
06-09-2011,624.9,624.9,629,609.25,628,625.35,620.87,11640
07-09-2011,625.35,618.1,643.9,618.1,627.8,629.25,633.48,10609
08-09-2011,629.25,630,636.1,622,633,633.1,628.2,15577
09-09-2011,633.1,630.25,667,630.25,650.65,652.9,655.06,47784
12-09-2011,652.9,650,654,635.15,640,643.45,644.46,60130
13-09-2011,643.45,656.8,656.9,625.8,634,634.55,642.67,10337
14-09-2011,634.55,636.9,642,631.05,631.4,632.4,635.06,3280
15-09-2011,632.4,639.9,639.9,630,631.2,631.85,633.09,3954
16-09-2011,631.85,630,638,626.1,626.1,630,631.22,3954
19-09-2011,630,639.85,647.8,633.35,640.05,641,642.18,19993
20-09-2011,641,635.55,648.8,633.1,635.6,637.65,637.84,3697
21-09-2011,637.65,650,654,637,653.85,645.8,644.8,14713
22-09-2011,645.8,644.5,648,625,637,628.5,639.92,16472
23-09-2011,628.5,627,666,622,653.85,653.75,649.51,24296
26-09-2011,653.75,659.8,659.8,625,646.5,637.85,638.1,4666
27-09-2011,637.85,640,646,632.7,646,636.35,637.18,16905
28-09-2011,636.35,642,645.85,626.05,626.1,633.2,637.44,6667
29-09-2011,633.2,626.2,645,623,632,632.05,632.73,18291
30-09-2011,632.05,642.25,642.9,628.4,629.95,634.7,634.95,3509
03-10-2011,634.7,625,640,625,640,638.45,633.7,3006
04-10-2011,638.45,642,652,628,637,635.85,639,13928
05-10-2011,635.85,633.15,634.8,616.2,625,622.55,629.27,10201
07-10-2011,622.55,625.05,639.95,625,630,629.8,629.47,3445
10-10-2011,629.8,629,636.85,623.25,636.8,634.35,632.51,2819
11-10-2011,634.35,640.25,648,639,640,641.6,642.95,13523
12-10-2011,641.6,640,659,640,655,657.8,650.6,16541
13-10-2011,657.8,661,667,651,653,654.65,656.39,7456
14-10-2011,654.65,650,674.95,650,671,670.75,663.34,13584
17-10-2011,670.75,672,697,668,686.1,689.5,688,17929
18-10-2011,689.5,674,687,662.5,679,674.3,674.65,10921
19-10-2011,674.3,685,698.7,673,673,677.9,685.33,102861
20-10-2011,677.9,682.5,689,667.3,670,670.45,674.01,19866
21-10-2011,670.45,675.1,675.25,654,657.1,661.05,662.02,6395
24-10-2011,661.05,661.05,665,644,645.4,647.35,649.68,5014
25-10-2011,647.35,641,673.35,639,670,668,655.42,15831
26-10-2011,668,673.5,678.1,665,678.1,674.9,672.68,4943
28-10-2011,674.9,679.9,714.8,679.1,693,696.5,699.78,45839
31-10-2011,696.5,693,700,682.05,685,685,686.35,17186
01-11-2011,685,680.1,694,680.1,694,691,689.47,5502
02-11-2011,691,690,693,681.25,685,689,689.03,62675
03-11-2011,689,689,711,689,705,704.1,702,15794
04-11-2011,704.1,711,715,695.65,710,711.55,710.94,9376
08-11-2011,711.55,700,710,691.35,693.8,696.6,700.84,9993
09-11-2011,696.6,688.2,699.95,688.2,695,692.75,693.91,3247
11-11-2011,692.75,690.15,693.3,655.5,669,668.15,667.89,15682
14-11-2011,668.15,688.3,688.3,642.25,645.1,648.7,654,18330
15-11-2011,648.7,641.25,655,633,649.85,645.15,642.5,24700
16-11-2011,645.15,649.9,659.95,635,645,645.15,650.89,6143
17-11-2011,645.15,660,660,644.95,645,646.8,653.18,11750
18-11-2011,646.8,645,654.9,631.2,645.05,649.25,639.85,5153
21-11-2011,649.25,655,655,649,649.25,649.55,650.55,7841
22-11-2011,649.55,647,655,640.5,646,645.6,645.86,4202
23-11-2011,645.6,646,653.8,641,649,648.3,649.11,39041
24-11-2011,648.3,631.7,639.45,618.3,629,634.95,634.84,14293
25-11-2011,634.95,630,638,628,633,634,630.56,9024
28-11-2011,634,633,647.95,633,646,645.2,640.41,3278
29-11-2011,645.2,636.6,642.15,635,635,636.8,636.51,4389
30-11-2011,636.8,636,637,625.2,628,630.35,631.35,8020
01-12-2011,630.35,640,650,635,638,637.2,639.2,3916
02-12-2011,637.2,640,653,635.55,643.55,648.85,645.81,5768
05-12-2011,648.85,641.8,657.95,641.8,656.95,652.3,651.88,14698
07-12-2011,652.3,652,670,651.9,667.8,663.25,664.59,17313
08-12-2011,663.25,664,679.9,651,660,659.9,661.37,8056
09-12-2011,659.9,645.7,664.9,645.7,663,662.95,656.35,3778
12-12-2011,662.95,646,664,646,659,655.1,658.55,16596
13-12-2011,655.1,643,658.95,632.15,639,652.7,653.09,14003
14-12-2011,652.7,649.8,656.95,641.1,650,649.25,650.55,15523
15-12-2011,649.25,633.6,644.95,633,640,639.9,640.2,20746
16-12-2011,639.9,635,652,632.25,642,640.35,645.14,26746
19-12-2011,640.35,640,640,612.15,637,633.1,628.47,10655
20-12-2011,633.1,624,635,624,633,632.85,630.31,7678
21-12-2011,632.85,632,643,632,639,638.45,639.1,6675
22-12-2011,638.45,630,639.9,630,639.9,639.45,637.94,6795
23-12-2011,639.45,630,640,630,630,631.55,636.01,2960
